birth_year,current_age,gender,plan,payout_start_age,ra_balance,age1,payout1,age2,payout2,age3,payout3
1970,56,M,Standard,68,500000,68,4440,85,4440,95,4440
1970,56,M,Basic,68,500000,68,4050,85,4050,95,4000
1970,56,F,Escalating,68,500000,68,3230,85,4520,95,5510
1970,56,F,Standard,68,500000,68,4120,85,4120,95,4120
1970,56,F,Basic,68,500000,68,3890,85,3890,95,3890
1970,56,M,Escalating,69,500000,69,3780,85,5190,95,6320
1970,56,M,Standard,69,500000,69,4690,85,4690,95,4690
1970,56,M,Basic,69,500000,69,4280,85,4280,95,4240
1970,56,F,Escalating,69,500000,69,3420,85,4700,95,5730
1970,56,F,Standard,69,500000,69,4340,85,4340,95,4340
1970,56,F,Basic,69,500000,69,4100,85,4100,95,4100
1970,56,M,Escalating,70,500000,70,4030,85,5430,95,6620
1970,56,M,Standard,70,500000,70,4980,85,4980,95,4980
1970,56,M,Basic,70,500000,70,4540,85,4540,95,4520
1970,56,F,Escalating,70,500000,70,3650,85,4910,95,5990
1970,56,F,Standard,70,500000,70,4600,85,4600,95,4600
1970,56,F,Basic,70,500000,70,4340,85,4340,95,4340
1965,61,M,Escalating,65,500000,65,2420,85,3600,95,4390
1965,61,M,Standard,65,500000,65,3060,85,3060,95,3060
1965,61,M,Basic,65,500000,65,2790,85,2790,95,2720
1965,61,F,Escalating,65,500000,65,2200,85,3270,95,3990
1965,61,F,Standard,65,500000,65,2850,85,2850,95,2850
1965,61,F,Basic,65,500000,65,2700,85,2700,95,2700
1965,61,M,Escalating,66,500000,66,2580,85,3760,95,4580
1965,61,M,Standard,66,500000,66,3250,85,3250,95,3250
1965,61,M,Basic,66,500000,66,2960,85,2960,95,2890
1965,61,F,Escalating,66,500000,66,2340,85,3420,95,4170
1965,61,F,Standard,66,500000,66,3020,85,3020,95,3020
1965,61,F,Basic,66,500000,66,2850,85,2850,95,2850
1965,61,M,Escalating,67,500000,67,2750,85,3920,95,4780
1965,61,M,Standard,67,500000,67,3440,85,3440,95,3440
1965,61,M,Basic,67,500000,67,3130,85,3130,95,3060
1965,61,F,Escalating,67,500000,67,2490,85,3560,95,4340
1965,61,F,Standard,67,500000,67,3190,85,3190,95,3190
1965,61,F,Basic,67,500000,67,3010,85,3010,95,3010
1965,61,M,Escalating,68,500000,68,2920,85,4090,95,4990
1965,61,M,Standard,68,500000,68,3640,85,3640,95,3640
1965,61,M,Basic,68,500000,68,3310,85,3310,95,3250
1965,61,F,Escalating,68,500000,68,2650,85,3710,95,4520
1965,61,F,Standard,68,500000,68,3370,85,3370,95,3370
1965,61,F,Basic,68,500000,68,3180,85,3180,95,3180
1965,61,M,Escalating,69,500000,69,3130,85,4290,95,5230
1965,61,M,Standard,69,500000,69,3880,85,3880,95,3880
1965,61,M,Basic,69,500000,69,3530,85,3530,95,3470
1965,61,F,Escalating,69,500000,69,2830,85,3890,95,4740
1965,61,F,Standard,69,500000,69,3580,85,3580,95,3580
1965,61,F,Basic,69,500000,69,3380,85,3380,95,3380
1965,61,M,Escalating,70,500000,70,3320,85,4470,95,5450
1965,61,M,Standard,70,500000,70,4090,85,4090,95,4090
1965,61,M,Basic,70,500000,70,3730,85,3730,95,3680
1965,61,F,Escalating,70,500000,70,3000,85,4040,95,4930
1965,61,F,Standard,70,500000,70,3780,85,3780,95,3780
1965,61,F,Basic,70,500000,70,3560,85,3560,95,3560
1960,66,M,Escalating,66,500000,66,2170,85,3170,95,3860
1960,66,M,Standard,66,500000,66,2730,85,2730,95,2730
1960,66,M,Basic,66,500000,66,2480,85,2480,95,2410
1960,66,F,Escalating,66,500000,66,1970,85,2880,95,3510
1960,66,F,Standard,66,500000,66,2540,85,2540,95,2540
1960,66,F,Basic,66,500000,66,2390,85,2390,95,2390
1960,66,M,Escalating,67,500000,67,2270,85,3240,95,3950
1960,66,M,Standard,67,500000,67,2830,85,2830,95,2830
1960,66,M,Basic,67,500000,67,2580,85,2580,95,2500
1960,66,F,Escalating,67,500000,67,2060,85,2940,95,3580
1960,66,F,Standard,67,500000,67,2630,85,2630,95,2630
1960,66,F,Basic,67,500000,67,2480,85,2480,95,2480
1960,66,M,Escalating,68,500000,68,2410,85,3370,95,4110
1960,66,M,Standard,68,500000,68,3000,85,3000,95,3000
1960,66,M,Basic,68,500000,68,2720,85,2720,95,2650
1960,66,F,Escalating,68,500000,68,2180,85,3060,95,3730
1960,66,F,Standard,68,500000,68,2770,85,2770,95,2770
1960,66,F,Basic,68,500000,68,2610,85,2610,95,2610
1960,66,M,Escalating,69,500000,69,2580,85,3540,95,4320
1960,66,M,Standard,69,500000,69,3190,85,3190,95,3190
1960,66,M,Basic,69,500000,69,2900,85,2900,95,2830
1960,66,F,Escalating,69,500000,69,2330,85,3210,95,3910
1960,66,F,Standard,69,500000,69,2950,85,2950,95,2950
1960,66,F,Basic,69,500000,69,2780,85,2780,95,2780
1960,66,M,Escalating,70,500000,70,2740,85,3690,95,4490
1960,66,M,Standard,70,500000,70,3370,85,3370,95,3370
1960,66,M,Basic,70,500000,70,3060,85,3060,95,3000
1960,66,F,Escalating,70,500000,70,2470,85,3330,95,4060
1960,66,F,Standard,70,500000,70,3110,85,3110,95,3110
1960,66,F,Basic,70,500000,70,2930,85,2930,95,2930
